s_adj	business	date	sales
Seasonally Adjusted	44000	2000.08	2.48094E+11
Seasonally Adjusted	44000	2000.09	2.52111E+11
Seasonally Adjusted	44000	2000.1	2.51531E+11
Seasonally Adjusted	44000	2000.11	2.50434E+11
Seasonally Adjusted	44000	2000.12	2.51024E+11
Seasonally Adjusted	44000	2001.01	2.53127E+11
Seasonally Adjusted	44000	2001.02	2.53111E+11
Seasonally Adjusted	44000	2001.03	2.50813E+11
Seasonally Adjusted	44000	2001.04	2.54794E+11
Seasonally Adjusted	44000	2001.05	2.55668E+11
Seasonally Adjusted	44000	2001.06	2.54431E+11
Seasonally Adjusted	44000	2001.07	2.53597E+11
Seasonally Adjusted	44000	2001.08	2.55181E+11
Seasonally Adjusted	44000	2001.09	2.50276E+11
Seasonally Adjusted	44000	2001.1	2.68662E+11
Seasonally Adjusted	44000	2001.11	2.60773E+11
Seasonally Adjusted	44000	2001.12	2.57321E+11
Seasonally Adjusted	44000	2002.01	2.57163E+11
Seasonally Adjusted	44000	2002.02	2.58538E+11
Seasonally Adjusted	44000	2002.03	2.57692E+11
Seasonally Adjusted	44000	2002.04	2.61512E+11
Seasonally Adjusted	44000	2002.05	2.57904E+11
Seasonally Adjusted	44000	2002.06	2.60154E+11
Seasonally Adjusted	44000	2002.07	2.63277E+11
Seasonally Adjusted	44000	2002.08	2.65657E+11
Seasonally Adjusted	44000	2002.09	2.60912E+11
Seasonally Adjusted	44000	2002.1	2.62379E+11
Seasonally Adjusted	44000	2002.11	2.64005E+11
Seasonally Adjusted	44000	2002.12	2.65945E+11
Seasonally Adjusted	44000	2003.01	2.67877E+11
Seasonally Adjusted	44000	2003.02	2.63841E+11
Seasonally Adjusted	44000	2003.03	2.68376E+11
Seasonally Adjusted	44000	2003.04	2.67598E+11
Seasonally Adjusted	44000	2003.05	2.67783E+11
Seasonally Adjusted	44000	2003.06	2.70789E+11
Seasonally Adjusted	44000	2003.07	2.73903E+11
Seasonally Adjusted	44000	2003.08	2.78152E+11
Seasonally Adjusted	44000	2003.09	2.76649E+11
Seasonally Adjusted	44000	2003.1	2.74985E+11
Seasonally Adjusted	44000	2003.11	2.78833E+11
Seasonally Adjusted	44000	2003.12	2.77884E+11
Seasonally Adjusted	44000	2004.01	2.79708E+11
Seasonally Adjusted	44000	2004.02	2.81686E+11
Seasonally Adjusted	44000	2004.03	2.87006E+11
Seasonally Adjusted	44000	2004.04	2.83639E+11
Seasonally Adjusted	44000	2004.05	2.88878E+11
Seasonally Adjusted	44000	2004.06	2.84798E+11
Seasonally Adjusted	44000	2004.07	2.88009E+11
Seasonally Adjusted	44000	2004.08	2.88211E+11
Seasonally Adjusted	44000	2004.09	2.9343E+11
Seasonally Adjusted	44000	2004.1	2.9529E+11
Seasonally Adjusted	44000	2004.11	2.96744E+11
Seasonally Adjusted	44000	2004.12	2.99944E+11
Seasonally Adjusted	44000	2005.01	2.98735E+11
Seasonally Adjusted	44000	2005.02	3.01147E+11
Seasonally Adjusted	44000	2005.03	3.01325E+11
Seasonally Adjusted	44000	2005.04	3.05719E+11
Seasonally Adjusted	44000	2005.05	3.02903E+11
Seasonally Adjusted	44000	2005.06	3.10418E+11
Seasonally Adjusted	44000	2005.07	3.14773E+11
Seasonally Adjusted	44000	2005.08	3.09645E+11
Seasonally Adjusted	44000	2005.09	3.10154E+11
Seasonally Adjusted	44000	2005.1	3.11507E+11
Seasonally Adjusted	44000	2005.11	3.14155E+11
Seasonally Adjusted	44000	2005.12	3.1433E+11
Seasonally Adjusted	44000	2006.01	3.24099E+11
Seasonally Adjusted	44000	2006.02	3.21232E+11
Seasonally Adjusted	44000	2006.03	3.22465E+11
Seasonally Adjusted	44000	2006.04	3.24636E+11
Seasonally Adjusted	44000	2006.05	3.2244E+11
Seasonally Adjusted	44000	2006.06	3.22549E+11
Seasonally Adjusted	44000	2006.07	3.25338E+11
Seasonally Adjusted	44000	2006.08	3.25326E+11
Seasonally Adjusted	44000	2006.09	3.22684E+11
Seasonally Adjusted	44000	2006.1	3.23341E+11
Seasonally Adjusted	44000	2006.11	3.2466E+11
Seasonally Adjusted	44000	2006.12	3.29221E+11
Seasonally Adjusted	44000	2007.01	3.28158E+11
Seasonally Adjusted	44000	2007.02	3.29494E+11
Seasonally Adjusted	44000	2007.03	3.3268E+11
Seasonally Adjusted	44000	2007.04	3.30646E+11
Seasonally Adjusted	44000	2007.05	3.35294E+11
Seasonally Adjusted	44000	2007.06	3.31009E+11
Seasonally Adjusted	44000	2007.07	3.32656E+11
Seasonally Adjusted	44000	2007.08	3.32867E+11
Seasonally Adjusted	44000	2007.09	3.35942E+11
Seasonally Adjusted	44000	2007.1	3.37355E+11
Seasonally Adjusted	44000	2007.11	3.42295E+11
Seasonally Adjusted	44000	2007.12	3.39185E+11
Seasonally Adjusted	44000	2008.01	3.39552E+11
Seasonally Adjusted	44000	2008.02	3.35831E+11
Seasonally Adjusted	44000	2008.03	3.37096E+11
Seasonally Adjusted	44000	2008.04	3.38104E+11
Seasonally Adjusted	44000	2008.05	3.39095E+11
Seasonally Adjusted	44000	2008.06	3.39437E+11
Seasonally Adjusted	44000	2008.07	3.37707E+11
Seasonally Adjusted	44000	2008.08	3.34847E+11
Seasonally Adjusted	44000	2008.09	3.28439E+11
Seasonally Adjusted	44000	2008.1	3.17126E+11
Seasonally Adjusted	44000	2008.11	3.07309E+11
Seasonally Adjusted	44000	2008.12	2.97322E+11
Seasonally Adjusted	44000	2009.01	3.03063E+11
Seasonally Adjusted	44000	2009.02	3.02751E+11
Seasonally Adjusted	44000	2009.03	2.97904E+11
Seasonally Adjusted	44000	2009.04	2.98297E+11
Seasonally Adjusted	44000	2009.05	3.00408E+11
Seasonally Adjusted	44000	2009.06	3.05079E+11
Seasonally Adjusted	44000	2009.07	3.05254E+11
Seasonally Adjusted	44000	2009.08	3.1294E+11
Seasonally Adjusted	44000	2009.09	3.05017E+11
Seasonally Adjusted	44000	2009.1	3.09761E+11
Seasonally Adjusted	44000	2009.11	3.13851E+11
Seasonally Adjusted	44000	2009.12	3.14733E+11
Seasonally Adjusted	44000	2010.01	3.1698E+11
Seasonally Adjusted	44000	2010.02	3.18054E+11
Seasonally Adjusted	44000	2010.03	3.25435E+11
Seasonally Adjusted	44000	2010.04	3.26614E+11
Seasonally Adjusted	44000	2010.05	3.22912E+11
Seasonally Adjusted	44000	2010.06	3.21858E+11
Seasonally Adjusted	44000	2010.07	3.23473E+11
Seasonally Adjusted	44000	2010.08	3.26339E+11
Seasonally Adjusted	44000	2010.09	3.2976E+11
Seasonally Adjusted	44000	2010.1	3.35571E+11
Seasonally Adjusted	44000	2010.11	3.38472E+11
Seasonally Adjusted	44000	2010.12	3.40675E+11
Seasonally Adjusted	4400a	1992.01	1.13632E+11
Seasonally Adjusted	4400a	1992.02	1.13779E+11
Seasonally Adjusted	4400a	1992.03	1.1393E+11
Seasonally Adjusted	4400a	1992.04	1.14493E+11
Seasonally Adjusted	4400a	1992.05	1.14851E+11
Seasonally Adjusted	4400a	1992.06	1.15383E+11
Seasonally Adjusted	4400a	1992.07	1.15631E+11
Seasonally Adjusted	4400a	1992.08	1.16635E+11
Seasonally Adjusted	4400a	1992.09	1.17177E+11
Seasonally Adjusted	4400a	1992.1	1.17735E+11
Seasonally Adjusted	4400a	1992.11	1.18007E+11
Seasonally Adjusted	4400a	1992.12	1.19714E+11
Seasonally Adjusted	4400a	1993.01	1.20221E+11
Seasonally Adjusted	4400a	1993.02	1.19853E+11
Seasonally Adjusted	4400a	1993.03	1.19148E+11
Seasonally Adjusted	4400a	1993.04	1.20594E+11
Seasonally Adjusted	4400a	1993.05	1.21869E+11
Seasonally Adjusted	4400a	1993.06	1.21646E+11
Seasonally Adjusted	4400a	1993.07	1.2266E+11
Seasonally Adjusted	4400a	1993.08	1.22293E+11
Seasonally Adjusted	4400a	1993.09	1.23379E+11
Seasonally Adjusted	4400a	1993.1	1.24009E+11
Seasonally Adjusted	4400a	1993.11	1.24902E+11
Seasonally Adjusted	4400a	1993.12	1.25542E+11
Seasonally Adjusted	4400a	1994.01	1.25233E+11
Seasonally Adjusted	4400a	1994.02	1.26368E+11
Seasonally Adjusted	4400a	1994.03	1.28427E+11
Seasonally Adjusted	4400a	1994.04	1.28415E+11
Seasonally Adjusted	4400a	1994.05	1.2857E+11
Seasonally Adjusted	4400a	1994.06	1.30062E+11
Seasonally Adjusted	4400a	1994.07	1.30584E+11
Seasonally Adjusted	4400a	1994.08	1.32295E+11
Seasonally Adjusted	4400a	1994.09	1.32758E+11
Seasonally Adjusted	4400a	1994.1	1.33838E+11
Seasonally Adjusted	4400a	1994.11	1.33798E+11
Seasonally Adjusted	4400a	1994.12	1.3484E+11
Seasonally Adjusted	4400a	1995.01	1.35632E+11
Seasonally Adjusted	4400a	1995.02	1.33913E+11
Seasonally Adjusted	4400a	1995.03	1.34588E+11
Seasonally Adjusted	4400a	1995.04	1.34912E+11
Seasonally Adjusted	4400a	1995.05	1.361E+11
Seasonally Adjusted	4400a	1995.06	1.36807E+11
Seasonally Adjusted	4400a	1995.07	1.36947E+11
Seasonally Adjusted	4400a	1995.08	1.37408E+11
Seasonally Adjusted	4400a	1995.09	1.38422E+11
Seasonally Adjusted	4400a	1995.1	1.377E+11
Seasonally Adjusted	4400a	1995.11	1.39391E+11
Seasonally Adjusted	4400a	1995.12	1.40897E+11
Seasonally Adjusted	4400a	1996.01	1.39084E+11
Seasonally Adjusted	4400a	1996.02	1.40503E+11
Seasonally Adjusted	4400a	1996.03	1.41951E+11
Seasonally Adjusted	4400a	1996.04	1.4359E+11
Seasonally Adjusted	4400a	1996.05	1.44296E+11
Seasonally Adjusted	4400a	1996.06	1.44707E+11
Seasonally Adjusted	4400a	1996.07	1.44581E+11
Seasonally Adjusted	4400a	1996.08	1.45092E+11
Seasonally Adjusted	4400a	1996.09	1.46003E+11
Seasonally Adjusted	4400a	1996.1	1.47425E+11
Seasonally Adjusted	4400a	1996.11	1.47672E+11
Seasonally Adjusted	4400a	1996.12	1.48573E+11
Seasonally Adjusted	4400a	1997.01	1.48601E+11
Seasonally Adjusted	4400a	1997.02	1.49994E+11
Seasonally Adjusted	4400a	1997.03	1.51072E+11
Seasonally Adjusted	4400a	1997.04	1.49793E+11
Seasonally Adjusted	4400a	1997.05	1.49772E+11
Seasonally Adjusted	4400a	1997.06	1.50943E+11
Seasonally Adjusted	4400a	1997.07	1.52251E+11
Seasonally Adjusted	4400a	1997.08	1.52598E+11
Seasonally Adjusted	4400a	1997.09	1.53308E+11
Seasonally Adjusted	4400a	1997.1	1.5352E+11
Seasonally Adjusted	4400a	1997.11	1.54025E+11
Seasonally Adjusted	4400a	1997.12	1.53919E+11
Seasonally Adjusted	4400a	1998.01	1.54608E+11
Seasonally Adjusted	4400a	1998.02	1.55216E+11
Seasonally Adjusted	4400a	1998.03	1.55339E+11
Seasonally Adjusted	4400a	1998.04	1.56463E+11
Seasonally Adjusted	4400a	1998.05	1.57076E+11
Seasonally Adjusted	4400a	1998.06	1.5747E+11
Seasonally Adjusted	4400a	1998.07	1.58706E+11
Seasonally Adjusted	4400a	1998.08	1.58729E+11
Seasonally Adjusted	4400a	1998.09	1.59069E+11
Seasonally Adjusted	4400a	1998.1	1.60396E+11
Seasonally Adjusted	4400a	1998.11	1.61561E+11
Seasonally Adjusted	4400a	1998.12	1.63027E+11
Seasonally Adjusted	4400a	1999.01	1.63726E+11
Seasonally Adjusted	4400a	1999.02	1.65346E+11
Seasonally Adjusted	4400a	1999.03	1.66233E+11
Seasonally Adjusted	4400a	1999.04	1.67106E+11
Seasonally Adjusted	4400a	1999.05	1.68354E+11
Seasonally Adjusted	4400a	1999.06	1.68809E+11
Seasonally Adjusted	4400a	1999.07	1.69635E+11
Seasonally Adjusted	4400a	1999.08	1.71224E+11
Seasonally Adjusted	4400a	1999.09	1.72808E+11
Seasonally Adjusted	4400a	1999.1	1.73265E+11
Seasonally Adjusted	4400a	1999.11	1.74672E+11
Seasonally Adjusted	4400a	1999.12	1.7975E+11
Seasonally Adjusted	4400a	2000.01	1.7614E+11
Seasonally Adjusted	4400a	2000.02	1.78669E+11
Seasonally Adjusted	4400a	2000.03	1.81955E+11
Seasonally Adjusted	4400a	2000.04	1.80298E+11
Seasonally Adjusted	4400a	2000.05	1.80977E+11
Seasonally Adjusted	4400a	2000.06	1.81896E+11
Seasonally Adjusted	4400a	2000.07	1.82142E+11
Seasonally Adjusted	4400a	2000.08	1.82729E+11
Seasonally Adjusted	4400a	2000.09	1.85156E+11
Seasonally Adjusted	4400a	2000.1	1.8532E+11
Seasonally Adjusted	4400a	2000.11	1.85646E+11
Seasonally Adjusted	4400a	2000.12	1.87283E+11
Seasonally Adjusted	4400a	2001.01	1.87039E+11
Seasonally Adjusted	4400a	2001.02	1.86711E+11
Seasonally Adjusted	4400a	2001.03	1.84891E+11
